0,1,2,3
358.0,583.0,4.52170846006068,2.0
1138.0,1150.0,4.532390434011964,4.0
478.0,661.0,4.536415476008495,2.0
91.0,337.0,4.563365838679513,2.0
509.0,1216.0,4.564514699478251,3.0
586.0,1200.0,4.565799824956566,3.0
836.0,1103.0,4.585778745859554,3.0
872.0,888.0,4.5860107023170595,2.0
643.0,764.0,4.587297722061027,2.0
57.0,140.0,4.591024131597182,2.0
58.0,1323.0,4.592891211412064,4.0
651.0,1279.0,4.604339250123613,3.0
250.0,510.0,4.612316679162449,2.0
455.0,1255.0,4.615412009216837,3.0
191.0,206.0,4.622165237350106,2.0
674.0,1033.0,4.63299893614804,3.0
585.0,760.0,4.63305219617284,2.0
606.0,1261.0,4.648375274587285,4.0
903.0,1325.0,4.651099765662024,7.0
203.0,1039.0,4.66060715781214,3.0
293.0,333.0,4.660997783622976,2.0
392.0,1246.0,4.681910164076119,3.0
117.0,121.0,4.69665075730232,2.0
228.0,1125.0,4.711014780741732,3.0
107.0,914.0,4.713311727516666,2.0
30.0,1194.0,4.713660126833288,4.0
1146.0,1277.0,4.7154191552165035,4.0
883.0,890.0,4.715583618880406,2.0
802.0,1239.0,4.720542969369907,3.0
655.0,1059.0,4.724493034817786,3.0
419.0,1131.0,4.7268687516268555,3.0
307.0,342.0,4.727777214170898,2.0
612.0,824.0,4.730465987817864,2.0
390.0,1162.0,4.732317085943284,3.0
642.0,1160.0,4.733189995357677,3.0
1218.0,1318.0,4.741959016960168,5.0
938.0,1079.0,4.763729892168686,3.0
696.0,715.0,4.764904798410774,2.0
481.0,486.0,4.765412460852082,2.0
556.0,995.0,4.7676412554157315,3.0
500.0,761.0,4.770128931404727,2.0
1031.0,1097.0,4.772141955572626,4.0
722.0,992.0,4.778091125375505,3.0
294.0,1244.0,4.78474691820365,3.0
974.0,1201.0,4.785849052499499,6.0
362.0,1213.0,4.798592407743771,3.0
860.0,1111.0,4.804937966816047,4.0
878.0,1303.0,4.805701469292202,4.0
719.0,1348.0,4.809603193053728,3.0
963.0,1082.0,4.810708883897525,4.0
128.0,327.0,4.810888470431166,2.0
127.0,1110.0,4.8146436891277276,3.0
652.0,922.0,4.822927013939513,2.0
260.0,265.0,4.823941553796083,2.0
620.0,622.0,4.834060558887578,2.0
234.0,241.0,4.836349257072384,2.0
494.0,502.0,4.841403168564421,2.0
122.0,124.0,4.841621040509755,2.0
1183.0,1190.0,4.8436611415723325,4.0
418.0,944.0,4.849738174394874,2.0
244.0,1267.0,4.864679155296802,3.0
948.0,1241.0,4.865202633490353,3.0
178.0,718.0,4.865639330923996,2.0
