Component,Explained_Variance,Explained_Variance_Ratio,Cumulative_Variance_Ratio
PC320,0.17411287542070256,0.00018167281335739136,0.9729146006184425
PC321,0.17244050700901256,0.00017992783112338003,0.9730945284495659
PC322,0.17079061642345278,0.0001782063026971435,0.9732727347522631
PC323,0.16929206678790953,0.00017664268640749797,0.9734493774386705
PC324,0.16799572995113551,0.00017529006294627198,0.9736246675016168
PC325,0.16682473955773242,0.00017406822843994964,0.9737987357300567
PC326,0.1645959567787435,0.0001717426724645914,0.9739704784025213
PC327,0.16388612014288023,0.0001710020148977697,0.974141480417419
PC328,0.163384842929869,0.00017047897235229648,0.9743119593897713
PC329,0.1620067503710482,0.00016904104335581694,0.9744810004331271
PC330,0.1609413190230932,0.00016792935124255735,0.9746489297843697
PC331,0.1599846306388827,0.00016693112368560098,0.9748158609080553
PC332,0.15757958096391594,0.000164421647349289,0.9749802825554046
PC333,0.15653289898202738,0.0001633295186949277,0.9751436120740995
PC334,0.15580300435234085,0.00016256793222115773,0.9753061800063206
PC335,0.1552740678336841,0.00016201602940983694,0.9754681960357304
PC336,0.15483587251575415,0.000161558807759709,0.9756297548434901
PC337,0.15302088252522078,0.00015966501135321708,0.9757894198548434
PC338,0.1517519379736079,0.00015834096954339103,0.9759477608243867
PC339,0.15096464944134388,0.0001575194971380056,0.9761052803215248
PC340,0.1501215385728247,0.00015663977860434764,0.9762619201001291
PC341,0.1488828726790276,0.00015534733014416208,0.9764172674302732
PC342,0.14847545693538375,0.00015492222450981408,0.9765721896547831
PC343,0.14680683982248072,0.00015318115645505414,0.9767253708112381
PC344,0.1459818000104291,0.00015232029361866078,0.9768776911048568
PC345,0.1444479253983143,0.00015071981855070818,0.9770284109234075
PC346,0.1432200607114741,0.00014943864028321097,0.9771778495636907
PC347,0.14206183230014482,0.00014823012188106395,0.9773260796855717
PC348,0.14175983474117143,0.00014791501166286098,0.9774739946972346
PC349,0.14105229885198955,0.00014717675474057188,0.9776211714519751
PC350,0.13950878035785472,0.00014556621705562995,0.9777667376690308
PC351,0.13873739452640732,0.00014476133784239277,0.9779114990068731
PC352,0.13782741265705756,0.00014381184478560685,0.9780553108516588
PC353,0.13687970609869266,0.0001428229890431502,0.9781981338407019
PC354,0.13634996334903127,0.00014227024499447415,0.9783404040856963
PC355,0.13498471586958294,0.0001408457188075327,0.9784812498045039
PC356,0.13388891096626973,0.00013970233432666242,0.9786209521388306
PC357,0.1321694375348376,0.00013790820178461593,0.9787588603406152
PC358,0.1317542268208488,0.00013747496272424083,0.9788963353033394
PC359,0.1304996255694574,0.00013616588699718018,0.9790325011903366
PC360,0.130008729051537,0.00013565367587400814,0.9791681548662106
PC361,0.1293992040633986,0.00013501768546181624,0.9793031725516724
PC362,0.12910556465425835,0.0001347112963022425,0.9794378838479747
PC363,0.12834292850755535,0.00013391554668289472,0.9795717993946575
PC364,0.12681293674299993,0.00013231912305478104,0.9797041185177123
PC365,0.12578965944253997,0.0001312514153073205,0.9798353699330197
PC366,0.12494284625401463,0.00013036783369983846,0.9799657377667195
PC367,0.12455479956744789,0.00012996293812222968,0.9800957007048416
PC368,0.12400037687017403,0.00012938444252872712,0.9802250851473704
PC369,0.12294556221765737,0.0001282838280851929,0.9803533689754556
PC370,0.12224838388541623,0.00012755637844240214,0.980480925353898
PC371,0.12129316608228773,0.0001265596853187942,0.9806074850392168
PC372,0.12065281000459314,0.000125891525138772,0.9807333765643556
PC373,0.12015774563641443,0.00012537496519831551,0.9808587515295538
PC374,0.11927155381667834,0.00012445029514920655,0.980983201824703
PC375,0.11821871851104232,0.00012335174599530438,0.9811065535706983
PC376,0.11786875772332642,0.00012298658999684365,0.9812295401606952
PC377,0.1172742734209803,0.00012236629333329673,0.9813519064540285
PC378,0.116522184057272,0.00012158154843564964,0.9814734880024641
PC379,0.11597293628703843,0.00012100845246323805,0.9815944964549274
PC380,0.11427863768201976,0.0001192405878323341,0.9817137370427597
PC381,0.11393740307143874,0.00011888453689945864,0.9818326215796591
PC382,0.11317019704429059,0.00011808401897658837,0.9819507055986357
PC383,0.1123643985079349,0.0001172432328673171,0.9820679488315031
PC384,0.11217898808575433,0.00011704977197051703,0.9821849986034735
PC385,0.11141583739365027,0.00011625348546433429,0.9823012520889378
PC386,0.11066928112391906,0.00011547451390623468,0.9824167266028441
PC387,0.1093980974596316,0.00011414813576201615,0.9825308747386061
PC388,0.10897623722061205,0.00011370795845588001,0.982644582697062
PC389,0.10802739185442264,0.0001127179144588451,0.9827573006115209
PC390,0.107309221142836,0.00011196856095279582,0.9828692691724736
PC391,0.10671254586249987,0.00011134597817953708,0.9829806151506532
PC392,0.10612876738402954,0.00011073685218408762,0.9830913520028373
PC393,0.10541954644709796,0.00010999683704969278,0.983201348839887
PC394,0.1050826318654401,0.00010964529372032661,0.9833109941336073
PC395,0.10462781047778437,0.00010917072410064237,0.983420164857708
PC396,0.10336757296997849,0.00010785576739230937,0.9835280206251004
PC397,0.10269044089710899,0.00010714923441250828,0.9836351698595128
PC398,0.10186219236334261,0.00010628502353249785,0.9837414548830453
PC399,0.10113593799472227,0.00010552723537902815,0.9838469821184244
PC400,0.10025697988690674,0.00010461011312782013,0.9839515922315522
PC401,0.09993752950798392,0.00010427679229254723,0.9840558690238447
