Component,Explained_Variance,Explained_Variance_Ratio,Cumulative_Variance_Ratio
PC292,0.14523331510817014,0.00015147576358610492,0.9804572618404261
PC293,0.14265053109698242,0.00014878196581676216,0.9806060438062429
PC294,0.14181762854410385,0.00014791326327357412,0.9807539570695165
PC295,0.141438704840169,0.00014751805259239083,0.9809014751221089
PC296,0.14086041491079396,0.00014691490648530793,0.9810483900285942
PC297,0.13967603196671913,0.0001456796161478363,0.9811940696447421
PC298,0.13743387104102028,0.00014334108219610353,0.9813374107269383
PC299,0.13681376148781962,0.00014269431896544844,0.9814801050459037
PC300,0.1363874682671404,0.0001422497027211255,0.9816223547486248
PC301,0.1357806276273765,0.00014161677873109708,0.981763971527356
PC302,0.13289187695573146,0.0001386038631788259,0.9819025753905348
PC303,0.13235211340486522,0.00013804089939904496,0.9820406162899339
PC304,0.13194537079627733,0.00013761667409527793,0.9821782329640292
PC305,0.13031315583703626,0.0001359143029340636,0.9823141472669632
PC306,0.12986855195655256,0.000135450588997358,0.9824495978559605
PC307,0.12875418589734788,0.0001342883250250267,0.9825838861809856
PC308,0.12838959296734667,0.00013390806108607513,0.9827177942420716
PC309,0.1268409086430968,0.0001322928108909332,0.9828500870529625
PC310,0.1256838626631466,0.00013108603252064914,0.9829811730854832
PC311,0.12482465596899092,0.00013018989522612694,0.9831113629807093
PC312,0.12366951934077085,0.00012898510827572516,0.9832403480889851
PC313,0.12267126269429689,0.0001279439443549889,0.9833682920333401
PC314,0.12213348322073513,0.0001273830499325347,0.9834956750832726
PC315,0.12141106720916782,0.0001266295828860965,0.9836223046661587
PC316,0.12034063790180646,0.0001255131441641907,0.9837478178103229
PC317,0.11879822973085509,0.0001239044398852703,0.9838717222502082
PC318,0.11675053713724463,0.00012176873294381727,0.983993490983152
PC319,0.1165898703989874,0.0001216011603944867,0.9841150921435465
PC320,0.11608711084677083,0.0001210767911269017,0.9842361689346735
PC321,0.11492865050892209,0.00011986853760649452,0.98435603747228
PC322,0.11399117661847429,0.00011889076901881301,0.9844749282412988
PC323,0.11338072048476752,0.00011825407413293106,0.9845931823154317
PC324,0.1129400072431242,0.00011779441806331157,0.9847109767334951
PC325,0.11074985578688637,0.0001155101290628453,0.9848264868625579
PC326,0.10971706590481264,0.00011443294759181298,0.9849409198101498
PC327,0.10846423447800592,0.00011312626670472536,0.9850540460768544
PC328,0.10768679925505185,0.00011231541559974308,0.9851663614924542
PC329,0.10739632799833836,0.00011201245924721664,0.9852783739517014
