Component,Explained_Variance,Explained_Variance_Ratio,Cumulative_Variance_Ratio
PC135,0.7200652776795424,0.0007510378397668145,0.9189089211100915
PC136,0.7121860606651474,0.000742819709676422,0.9196517408197679
PC137,0.7047446056799623,0.0007350581713131145,0.920386798991081
PC138,0.6874050888828827,0.0007169728203851467,0.9211037718114662
PC139,0.6745607908500723,0.0007035760435276794,0.9218073478549939
PC140,0.67276617826361,0.0007017042382873289,0.9225090520932812
PC141,0.6632208126546043,0.0006917482926404642,0.9232008003859217
PC142,0.6582367281366593,0.0006865498249659286,0.9238873502108876
PC143,0.6471596668610679,0.0006749962999880345,0.9245623465108757
PC144,0.6400269283983883,0.0006675567571400642,0.9252299032680157
PC145,0.626515831643375,0.0006534645001818256,0.9258833677681975
PC146,0.6226329819092395,0.0006494146353058774,0.9265327824035033
PC147,0.6148442533747519,0.0006412908859259287,0.9271740732894292
PC148,0.6080456048475517,0.000634199803406776,0.927808273092836
PC149,0.6048247911720789,0.0006308404511090041,0.9284391135439449
PC150,0.595646681222219,0.0006212675580900565,0.929060381102035
PC151,0.5868384875218478,0.0006120804927307982,0.9296724615947658
PC152,0.5842903603010321,0.000609422761518512,0.9302818843562843
PC153,0.5711970231832684,0.0005957662335215597,0.9308776505898059
PC154,0.5668155411800222,0.000591196288433665,0.9314688468782395
PC155,0.5567504234938289,0.000580698234328907,0.9320495451125684
PC156,0.5544067907548134,0.0005782537936315452,0.9326277989062
PC157,0.5439227638357684,0.0005673188115217137,0.9331951177177217
PC158,0.5427307393849712,0.0005660755138704772,0.9337611932315921
PC159,0.5370650244382643,0.0005601660964242953,0.9343213593280164
PC160,0.5335485083254704,0.000556498322478343,0.9348778576504948
PC161,0.5255702067823276,0.0005481768458821101,0.935426034496377
PC162,0.5187965022159362,0.0005411117802520115,0.9359671462766289
PC163,0.5150739101541427,0.0005372290662994208,0.9365043753429283
PC164,0.506811785888704,0.0005286115587587202,0.937032986901687
PC165,0.503022457807964,0.0005246592382342562,0.9375576461399213
PC166,0.4984694826285913,0.0005199104234403428,0.9380775565633617
PC167,0.4857867964857065,0.000506682209973519,0.9385842387733352
PC168,0.484085387578492,0.000504907617433309,0.9390891463907685
PC169,0.4763852081480772,0.000496876225968535,0.939586022616737
PC170,0.4723983299189009,0.0004927178579629242,0.9400787404746999
PC171,0.4661473350310237,0.00048619798560897064,0.9405649384603089
PC172,0.46284480774057385,0.0004827534049037554,0.9410476918652126
PC173,0.45606903498669815,0.0004756861821260916,0.9415233780473388
PC174,0.451263723658545,0.0004706741773104542,0.9419940522246493
PC175,0.448560195416418,0.0004678543607276315,0.9424619065853769
PC176,0.4463649661642122,0.0004655647068775214,0.9429274712922544
PC177,0.4446678759405389,0.0004637946187827526,0.9433912659110372
PC178,0.43937097815748305,0.0004582698826348413,0.943849535793672
PC179,0.43084473545726953,0.0004493768959885032,0.9442989126896605
PC180,0.42912135491382103,0.00044757938673403843,0.9447464920763945
PC181,0.42433785711839933,0.0004425901337285607,0.9451890822101231
PC182,0.42279467265500975,0.00044098057142681943,0.9456300627815499
PC183,0.41848580314398043,0.00043648636215203095,0.9460665491437019
PC184,0.4129579238048376,0.00043072070911187826,0.9464972698528138
PC185,0.41026071389158086,0.0004279074826316653,0.9469251773354455
PC186,0.4075110280589334,0.0004250395230566058,0.9473502168585021
PC187,0.40340902956988645,0.00042076108306034806,0.9477709779415624
PC188,0.39814030555284596,0.0004152657325320774,0.9481862436740944
PC189,0.3956773434914467,0.00041269682973484495,0.9485989405038293
PC190,0.3928603741684955,0.00040975869256786973,0.9490086991963972
PC191,0.3886275267618389,0.00040534377537785807,0.949414042971775
PC192,0.3834640135141514,0.0003999581611073746,0.9498140011328824
PC193,0.38223392673783635,0.0003986751639349703,0.9502126762968174
PC194,0.3792515364030977,0.00039556449041164515,0.950608240787229
PC195,0.3743268466070296,0.0003904279722366822,0.9509986687594657
PC196,0.36836096700951093,0.0003842054789931969,0.9513828742384589
PC197,0.3669918628876208,0.00038277748484600823,0.951765651723305
PC198,0.3618190694157796,0.00037738219117600786,0.952143033914481
PC199,0.3585724004198561,0.00037399587142872867,0.9525170297859097
PC200,0.3566269170381128,0.00037196670590496485,0.9528889964918147
PC201,0.35055513738287264,0.0003656337574665858,0.9532546302492813
PC202,0.3484845030633525,0.00036347405781922757,0.9536181043071005
PC203,0.3473208034921564,0.0003622603034011487,0.9539803646105016
PC204,0.34433373079540425,0.00035914474611080876,0.9543395093566124
PC205,0.34327512019348394,0.0003580406009113866,0.9546975499575238
PC206,0.33702010085475276,0.0003515165310006708,0.9550490664885244
PC207,0.33413427461245404,0.00034850657513397094,0.9553975730636584
PC208,0.32717894157820493,0.00034125206855126916,0.9557388251322096
PC209,0.3207201332882994,0.00033451544400362994,0.9560733405762133
PC210,0.3197675169535784,0.0003335218522608632,0.9564068624284742
PC211,0.3177330457246257,0.00033139987120688936,0.9567382622996811
PC212,0.31631690745050467,0.00032992281980172457,0.9570681851194828
PC213,0.3143336919905852,0.00032785429920924444,0.957396039418692
PC214,0.3095677230673314,0.0003228833290549117,0.957718922747747
PC215,0.3066710594897956,0.00031986206970073983,0.9580387848174476
PC216,0.30576728685117355,0.0003189194225947185,0.9583577042400424
PC217,0.3033062883434306,0.000316352567810551,0.958674056807853
PC218,0.3003418037184187,0.00031326057018505,0.9589873173780381
PC219,0.297698339654475,0.00031050340135379715,0.9592978207793919
PC220,0.29424012108387193,0.0003068964325341409,0.959604717211926
PC221,0.2917868601360585,0.00030433764812980515,0.9599090548600557
PC222,0.2907389149175025,0.00030324462706972214,0.9602122994871255
PC223,0.28857717613677175,0.00030098990423507564,0.9605132893913606
PC224,0.2873115436620203,0.0002996698324176437,0.9608129592237783
PC225,0.28307288267084496,0.00029524885158021896,0.9611082080753585
PC226,0.27986682373048344,0.0002919048886710592,0.9614001129640295
PC227,0.27628180110732936,0.0002881656615067033,0.9616882786255362
PC228,0.27479250521484305,0.00028661230571447435,0.9619748909312507
PC229,0.2734308331744985,0.00028519206332902445,0.9622600829945797
PC230,0.267741189779532,0.000279257688187135,0.9625393406827668
PC231,0.2658543261124083,0.00027728966381987516,0.9628166303465867
PC232,0.26567622427478094,0.00027710390119037965,0.9630937342477771
PC233,0.2626775440622121,0.00027397623710378907,0.9633677104848809
PC234,0.2588644726190168,0.00026999915193061895,0.9636377096368115
PC235,0.25800592997369426,0.0002691036803203663,0.9639068133171319
PC236,0.2575739196584467,0.00026865308770886577,0.9641754664048408
PC237,0.25562865238308646,0.0002666241475869872,0.9644420905524277
PC238,0.25393171793895086,0.0002648542219723866,0.9647069447744001
PC239,0.2504842256444843,0.00026125844080405596,0.9649682032152042
PC240,0.24902297801394416,0.00025973433972902303,0.9652279375549332
PC241,0.24790645051234114,0.00025856978641859756,0.9654865073413518
PC242,0.24566026272238817,0.0002562269821232519,0.965742734323475
PC243,0.24422214964175737,0.0002547270106971918,0.9659974613341722
PC244,0.2417315438441389,0.0002521292751085768,0.9662495906092807
PC245,0.2402888271247136,0.0002506245020248859,0.9665002151113056
PC246,0.23734651844033386,0.00024755563420589467,0.9667477707455114
PC247,0.23678107888946787,0.00024696587309399985,0.9669947366186055
PC248,0.23402751877531822,0.00024409387259084636,0.9672388304911963
PC249,0.23319071587975676,0.00024322107583411566,0.9674820515670304
PC250,0.2305313747242672,0.0002404473469812842,0.9677224989140116
PC251,0.22963899549183756,0.0002395165833522747,0.9679620154973639
PC252,0.22594503907460786,0.0002356637367649079,0.9681976792341288
PC253,0.2234533088289979,0.00023306482836180423,0.9684307440624906
PC254,0.222502982744747,0.00023207362538130516,0.968662817687872
PC255,0.22225046231133136,0.00023181024314821008,0.9688946279310202
PC256,0.22027508757379421,0.0002297499005353976,0.9691243778315556
PC257,0.21908307358433224,0.00022850661379547542,0.9693528844453511
PC258,0.21717729074248726,0.0002265188564726721,0.9695794033018237
